row	language	stars	forks	issues	watchers	license	lines	score
375	Java	0	1367	0	282	BSD 3-Clause 'New' or 'Revised' License	846578	0.7253774263120056
376	Swift	18240	0	0	0	MIT License	347779	0.09561466570812363
377	Objective-C	0	0	147	81	BSD 3-Clause 'New' or 'Revised' License	1766867	0.5046728971962616
378	Objective-C	10040	4979	0	0	MIT License	508929	0.3781452192667146
379	Java	30331	5509	1067	0	Apache License 2.0	1284752	0.30337886412652765
380	SQL	3318	2037	465	0	MIT License	233749	0.6484543493889288
381	Python	0	6302	0	125	BSD 3-Clause 'New' or 'Revised' License	49651	0.4867002156721783
382	R	0	1891	0	0	MIT License	1946228	0.5377426312005751
383	Swift	0	0	760	203	MIT License	369026	0.3580158159597412
384	C	0	1604	408	449	MIT License	472095	0.5571531272465852
385	Go	2998	2010	1108	0	MIT License	965833	0.5995686556434221
386	VBA	0	3347	55	42	Apache License 2.0	846853	0.29043853342918763
387	Ruby	0	59	418	157	GNU General Public License v3.0	1077375	0.5722501797268152
388	MATLAB	22434	2963	670	0	MIT License	181950	0.39468008626887124
389	PHP	19006	8380	0	53	GNU General Public License v3.0	948138	0.5614665708123652
390	JavaScript	7405	0	0	0	Apache License 2.0	445725	0.6455787203450755
391	HTML/CSS	0	3213	1271	0	GNU General Public License v3.0	2251158	0.7872034507548527
392	HTML/CSS	0	413	1388	341	MIT License	1525399	0.8533429187634796
393	JavaScript	11944	0	968	193	Apache License 2.0	554317	0.48885693745506825
394	Go	12670	5268	515	237	Apache License 2.0	626680	0.4270309130122214
395	C	0	2704	0	355	MIT License	89093	0.3666427030913012
396	Java	0	134	0	0	MIT License	169618	0.22789360172537743
397	JavaScript	0	0	1007	362	MIT License	1241081	0.5514018691588785
398	Python	7599	0	423	0	MIT License	249805	0.45794392523364486
399	VBA	0	342	0	0	Apache License 2.0	40932	0.2544931703810208
400	Rust	8610	5167	754	0	Apache License 2.0	1483107	0.2882818116462976
401	SQL	0	3061	612	209	MIT License	1665502	0.5506829618979152
402	HTML/CSS	6562	0	161	0	MIT License	320065	0.5815959741193386
403	JavaScript	26279	2930	505	0	Eclipse Public License 2.0	151302	0.7030913012221424
404	Swift	36233	0	0	105	Apache License 2.0	1657856	0.3882099209202013
405	Python	0	1346	0	0	Apache License 2.0	263672	0.4507548526240115
406	SQL	44475	4074	221	9	MIT License	898388	0.7059669302659957
407	TypeScript	30806	0	0	0	Apache License 2.0	173647	0.43421998562185476
408	JavaScript	21935	2126	594	164	GNU General Public License v2.0	1466492	0.7656362329259525
409	MATLAB	24588	1465	0	0	GNU General Public License v3.0	1359216	0.6232925952552121
410	HTML/CSS	16230	0	1714	439	MIT License	2579723	0.8094895758447159
411	Python	0	764	1048	0	MIT License	457901	0.3831775700934579
412	C#	26295	0	0	0	GNU General Public License v2.0	80363	0.3846153846153846
413	TypeScript	43127	0	858	101	GNU General Public License v2.0	2454139	0.99784327821711
414	C#	0	9526	2307	0	MIT License	6099590	0.5844716031631919
415	JavaScript	16923	0	1099	0	MIT License	2490986	0.5672178289000719
416	HTML/CSS	0	6109	0	82	MIT License	546594	0.5938173975557154
417	SQL	17538	1316	0	330	BSD 3-Clause 'New' or 'Revised' License	96810	0.6276060388209921
418	Python	0	0	596	0	Apache License 2.0	149828	0.3537023723939612
419	HTML/CSS	0	7064	0	0	MIT License	2049641	0.7958303378864127
420	TypeScript	33056	2419	0	534	MIT License	1431321	0.6405463695183321
421	Java	7212	0	281	48	BSD 3-Clause 'New' or 'Revised' License	50343	0.5240833932422717
422	JavaScript	23240	8344	0	37	MIT License	717070	0.6959022286125089
423	HTML/CSS	38867	1667	7	137	Apache License 2.0	570296	0.40258806613946807
424	C++	2437	0	63	0	MIT License	1819329	0.32566498921639103
425	HTML/CSS	21932	0	645	0	BSD 3-Clause 'New' or 'Revised' License	2551945	0.6973400431344356
426	JavaScript	2991	5812	1549	142	MIT License	1797259	0.685118619698059
427	VBA	28286	6533	0	0	MIT License	193004	0.4744787922358015
428	HTML/CSS	0	2518	269	16	Apache License 2.0	928006	0.3997124370956147
429	SQL	5517	0	0	162	BSD 3-Clause 'New' or 'Revised' License	104794	0.6024442846872754
430	SQL	33975	0	524	0	MIT License	1603532	0.45147375988497485
431	R	22108	0	0	0	MIT License	246743	0.5147375988497483
432	HTML/CSS	0	2799	0	132	MIT License	1486831	0.6901509705248022
433	TypeScript	0	1904	0	0	MIT License	282562	0.5406182602444285
434	Kotlin	0	2093	530	177	MIT License	398353	0.42415528396836805
435	Python	0	4088	0	52	GNU General Public License v3.0	1468402	0.6096333572969087
436	Python	0	3315	879	291	MIT License	1646750	0.3580158159597412
437	Java	8498	932	0	22	MIT License	1716364	0.45794392523364486
438	Kotlin	28990	417	371	277	GNU Lesser General Public License v3.0	857036	0.3443565780014378
439	Python	43953	0	1514	214	MIT License	2507375	0.6204169662113587
440	Python	356	5841	713	424	MIT License	232136	0.8080517613227892
441	Objective-C	45415	0	282	0	MIT License	57542	0.5873472322070452
442	Java	2125	0	536	307	BSD 3-Clause 'New' or 'Revised' License	1974648	0.6484543493889288
443	Ruby	25637	440	0	513	MIT No Attribution	689290	0.6362329259525521
444	SQL	13669	3772	804	0	MIT License	2253824	0.8224299065420559
445	TypeScript	0	254	626	0	MIT License	705446	0.3831775700934579
446	C	0	0	678	0	MIT License	509265	0.4205607476635514
447	C++	40182	1211	1261	0	MIT License	1387720	0.4378145219266714
448	PHP	0	0	0	25	Apache License 1.1	1349764	0.317038102084831
449	JavaScript	32021	604	296	0	BSD 3-Clause 'New' or 'Revised' License	1074644	0.7886412652767792
450	HTML/CSS	581	944	2472	209	MIT License	5305231	0.8051761322789359
451	C++	0	0	1521	292	GNU General Public License v3.0	3406554	0.522645578720345
452	PHP	24786	0	1387	85	MIT License	2575917	0.5880661394680087
453	C	0	0	2241	43	MIT License	6222715	0.642703091301222
454	HTML/CSS	6366	853	1246	0	BSD 3-Clause 'New' or 'Revised' License	2346406	0.5248023005032351
455	SQL	8766	724	0	54	BSD 3-Clause 'New' or 'Revised' License	889400	0.3795830337886413
456	C	32437	0	0	26	MIT License	877387	0.6994967649173257
457	JavaScript	10703	100	631	14	MIT License	255402	0.48741912293314155
458	JavaScript	7569	8038	631	0	MIT License	983187	0.5398993529834651
459	Rust	8222	0	0	225	MIT License	655079	0.582314881380302
460	VBA	0	1050	22	230	MIT License	458085	0.35514018691588783
461	C#	11610	0	162	0	MIT License	1172283	0.5212077641984184
462	HTML/CSS	21011	6457	0	0	BSD 2-Clause 'Simplified' License	1181111	0.7519769949676492
463	Python	0	0	0	0	BSD 3-Clause 'New' or 'Revised' License	972216	0.27677929547088426
464	JavaScript	0	0	0	66	MIT License	320490	0.5844716031631919
465	Java	39116	9416	945	408	BSD 3-Clause 'New' or 'Revised' License	2896881	0.6944644140905822
466	C	21174	4255	1002	0	MIT License	2846103	0.6657081236520488
467	Java	0	6236	687	0	MIT License	889104	0.6010064701653487
468	Python	0	1699	0	125	MIT License	1558629	0.4327821710999281
469	C#	4326	7811	0	438	MIT License	234327	0.5370237239396117
470	Rust	4939	0	363	368	BSD 3-Clause 'New' or 'Revised' License	79107	0.6865564342199857
471	SQL	16050	0	0	0	MIT License	880263	0.4982027318475917
472	TypeScript	0	1837	0	256	MIT License	619048	0.49388928828181167
473	Go	0	782	0	213	MIT License	1118581	0.6901509705248022
474	Java	22401	355	0	0	GNU General Public License v3.0	2212758	0.5319913731128685
475	C#	157	0	0	0	Apache License 2.0	1787858	0.17541337167505391
476	C++	15826	1646	130	61	Mozilla Public License 2.0	1539627	0.19482386772106394
477	Python	18289	5837	0	237	GNU General Public License v3.0	3506323	0.6412652767792953
478	HTML/CSS	5337	13080	0	46	MIT License	2544281	0.5945363048166786
479	JavaScript	1552	984	94	123	GNU General Public License v3.0	1607214	0.41337167505391803
480	Python	23465	408	1560	0	MIT License	1767458	0.7246585190510424
481	JavaScript	11756	4300	0	23	Apache License 2.0	30389	0.3932422717469446
482	Python	57632	6478	0	237	GNU General Public License v2.0	464670	0.6017253774263119
483	SQL	10989	581	0	0	BSD 3-Clause 'New' or 'Revised' License	190890	0.638389647735442
484	MATLAB	17094	0	630	252	MIT License	460476	0.5377426312005751
485	HTML/CSS	3151	0	0	110	GNU Lesser General Public License v2.1	445564	0.5391804457225018
486	JavaScript	30618	2517	466	0	MIT License	1278941	0.5664989216391085
487	Python	9766	0	0	0	Apache License 2.0	120455	0.6139468008626888
488	Java	24479	0	0	0	MIT License	2070224	0.46585190510424146
489	SQL	18886	4237	0	0	BSD 3-Clause 'New' or 'Revised' License	1259784	0.5327102803738317
490	Kotlin	0	8318	794	0	MIT License	33664	0.42415528396836805
491	Java	0	1687	549	62	BSD 3-Clause 'New' or 'Revised' License	331815	0.8245866283249461
492	C++	5260	5585	0	186	MIT License	285833	0.4816678648454349
493	HTML/CSS	44498	1438	1350	0	Apache License 2.0	1242183	0.7390366642703091
494	C#	0	9545	1770	0	MIT License	1953187	0.7505391804457225
495	Python	59560	9259	0	105	GNU General Public License v3.0	215316	0.6132278936017254
496	Python	18359	165	771	182	Mozilla Public License 2.0	137576	0.5470884255930984
497	HTML/CSS	0	0	0	30	MIT License	501047	0.6276060388209921
498	SQL	0	0	641	0	BSD 3-Clause 'New' or 'Revised' License	43385	0.47519769949676494
499	HTML/CSS	21439	0	0	0	BSD 3-Clause 'New' or 'Revised' License	906317	0.6865564342199857
500	Ruby	0	6030	0	124	MIT License	774491	0.7598849748382458
501	Java	11111	4015	0	255	MIT License	300640	0.879942487419123
502	VBA	0	0	0	155	MIT License	897492	0.5650611071171819
503	C	0	0	0	170	BSD 3-Clause 'New' or 'Revised' License	98324	0.5125808770668584
504	Java	0	0	837	82	MIT License	3004748	0.621135873472322
505	Java	22407	0	568	86	MIT License	292507	0.31416247304097766
506	Python	1349	138	913	96	Mozilla Public License 2.0	316323	0.5593098490294752
507	C#	19405	0	957	0	BSD 3-Clause 'New' or 'Revised' License	1793827	0.5168943206326384
508	Python	18739	0	0	82	MIT License	59724	0.6139468008626888
509	C#	10633	940	1542	44	Apache License 2.0	3858751	0.39108554996405465
510	Python	64	0	0	0	MIT License	319253	0.34148094895758446
511	Java	0	7382	0	0	MIT License	753197	0.46369518332135157
512	Go	2278	0	0	0	MIT License	597781	0.40474478792235796
513	Swift	0	0	974	0	MIT No Attribution	1123879	0.5478073328540618
514	JavaScript	0	6907	0	0	MIT License	1458997	0.5636232925952552
515	C	2467	0	291	0	MIT No Attribution	1322045	0.5305535585909418
516	Java	4792	0	0	82	Apache License 2.0	1117961	0.7016534867002157
517	C	19771	2211	1236	0	GNU Affero General Public License v3.0	802622	0.621135873472322
518	C#	26228	4090	0	0	MIT License	1106255	0.7052480230050324
519	Java	0	924	0	0	MIT License	340514	0.2293314162473041
520	Python	29374	0	0	251	MIT License	419588	0.4212796549245147
521	JavaScript	845	2828	232	59	MIT License	478733	0.492451473759885
522	JavaScript	31039	208	0	104	BSD 3-Clause 'New' or 'Revised' License	87059	0.9626168224299065
523	SQL	14166	0	791	343	MIT License	1210046	0.6448598130841121
524	VBA	35534	7677	1548	0	MIT No Attribution	2087321	0.6599568655643422
525	C++	19032	1422	693	288	GNU General Public License v2.0	418124	0.5930984902947519
526	C#	14199	7497	0	163	Apache License 2.0	2984508	0.9396117900790798
527	JavaScript	897	664	88	213	MIT License	2196179	0.5176132278936016
528	Python	21854	2299	0	72	BSD 3-Clause 'New' or 'Revised' License	52251	0.7052480230050324
529	C	5772	0	509	19	Apache License 2.0	475714	0.2868439971243709
530	C++	22490	3968	0	278	BSD 2-Clause 'Simplified' License	140656	0.45003594536304814
531	JavaScript	53157	0	0	26	MIT License	1223357	0.46369518332135157
532	HTML/CSS	21881	1955	1535	27	MIT License	1262098	0.8878504672897195
533	TypeScript	0	0	924	0	MIT License	1334104	0.4335010783608914
534	Scala	21677	6659	0	297	MIT License	1253649	0.5334291876347951
535	Go	24599	0	0	0	MIT License	2197144	0.23076923076923078
536	HTML/CSS	0	8829	87	263	BSD 3-Clause 'New' or 'Revised' License	3054740	0.7929547088425593
537	TypeScript	22405	4184	0	169	MIT License	445880	0.5765636232925953
538	JavaScript	0	1104	821	0	MIT License	2710854	0.4737598849748383
539	Python	0	550	0	77	Apache License 2.0	579513	0.505391804457225
540	TypeScript	15208	0	1071	0	GNU General Public License v3.0	2047687	0.45363048166786485
541	Objective-C	23677	5482	0	0	Apache License 2.0	1792317	0.6196980589503953
542	Objective-C	7089	3350	0	122	Eclipse Public License 2.0	951628	0.47951114306254494
543	Python	7011	0	0	0	Mozilla Public License 2.0	1669332	0.38030194104960463
544	Go	25506	3115	178	126	MIT License	506614	0.4349388928828181
545	Objective-C	1538	348	0	210	Apache License 2.0	1096051	0.6347951114306255
546	Python	0	1217	0	0	MIT License	803320	0.26887131560028754
547	R	17863	0	0	128	GNU General Public License v3.0	170552	0.27102803738317754
548	Swift	7711	2262	0	0	BSD 3-Clause 'New' or 'Revised' License	242950	0.6477354421279655
549	HTML/CSS	0	0	0	0	MIT License	714242	0.5406182602444285
550	Java	24467	4275	0	34	BSD 3-Clause 'New' or 'Revised' License	868613	0.783608914450036
551	C++	0	0	1570	63	BSD 3-Clause 'New' or 'Revised' License	1785264	0.4083393242271747
552	PHP	0	0	0	0	BSD 2-Clause 'Simplified' License	709733	0.509705248023005
553	Java	0	588	851	0	Apache License 2.0	434938	0.8806613946800863
554	JavaScript	22518	0	1830	161	GNU General Public License v3.0	2489093	0.6024442846872754
555	Java	20785	862	888	0	Apache License 2.0	876940	0.638389647735442
556	Python	33155	0	242	320	MIT License	1282889	0.5895039539899354
557	SQL	8556	3633	1042	0	MIT License	1274140	0.6125089863407621
558	MATLAB	17824	2901	119	0	Apache License 2.0	224359	0.5449317038102085
559	PHP	10202	1826	0	30	MIT No Attribution	407846	0.4442846872753415
560	Objective-C	10153	0	415	0	GNU General Public License v3.0	1144220	0.4953271028037384
561	C#	21156	6037	154	68	GNU General Public License v3.0	440320	0.44716031631919484
562	Python	0	2039	127	231	MIT License	857185	0.37311286843997127
563	JavaScript	0	307	839	264	BSD 3-Clause 'New' or 'Revised' License	2745038	0.5197699496764917
564	PHP	18233	2371	579	415	BSD 3-Clause 'New' or 'Revised' License	1372485	0.873472322070453
565	C#	2819	0	0	0	GNU General Public License v3.0	565225	0.5801581595974119
566	Objective-C	0	123	205	156	MIT License	364811	0.393961179007908
567	TypeScript	0	0	898	82	MIT License	1935506	0.4392523364485981
568	Java	0	2820	521	377	MIT License	161455	0.36951833213515456
569	SQL	22762	0	0	56	MIT License	1119583	0.38605319913731123
570	JavaScript	17867	573	0	0	MIT License	740156	0.5061107117181883
571	Ruby	4378	0	1607	0	GNU General Public License v3.0	2591441	0.24658519051042413
572	Python	2231	0	1805	0	MIT License	3925392	0.2731847591660676
573	Python	26484	0	245	327	MIT License	941477	0.43853342918763477
574	C	2536	5964	0	0	MIT License	82099	0.3177570093457944
575	C++	6816	3966	0	0	MIT License	68487	0.41552839683680803
576	Java	5655	0	851	182	Apache License 2.0	1552169	0.5506829618979152
577	VBA	5636	463	0	225	Apache License 2.0	226218	0.3687994248741912
578	JavaScript	55298	1704	615	0	MIT License	281459	0.6549245147375988
579	Swift	17963	4435	0	439	MIT License	715803	0.5715312724658519
580	JavaScript	3058	0	0	0	MIT License	504435	0.47088425593098493
581	Python	0	0	676	61	MIT License	765818	0.7160316319194824
582	Objective-C	0	0	0	0	MIT License	293471	0.3421998562185478
583	Python	4385	0	875	0	MIT License	460657	0.39108554996405465
584	JavaScript	7299	2673	0	146	MIT License	1520233	0.3817397555715312
585	VBA	61420	912	0	0	Apache License 2.0	1600927	0.5621854780733285
586	TypeScript	40282	0	0	28	MIT License	2578806	0.638389647735442
587	JavaScript	7748	6592	0	183	MIT License	1919874	0.6477354421279655
588	Scala	22311	7634	0	30	Creative Commons Zero v1.0 Universal	59169	0.33788641265276775
589	Python	14476	0	733	77	MIT License	1407612	0.48454349388928825
590	SQL	38138	2966	0	0	GNU General Public License v2.0	873177	0.7304097771387491
591	Swift	8126	1331	0	0	Apache License 1.1	1841962	0.42846872753414805
592	C++	0	0	537	414	MIT License	277524	0.43062544931703806
593	C#	0	591	2196	0	MIT License	4448313	0.5391804457225018
594	Rust	11717	354	0	71	MIT License	1086407	0.36304816678648455
595	Java	8643	0	0	0	Apache License 2.0	1808839	0.514018691588785
596	HTML/CSS	10073	0	0	0	GNU General Public License v2.0	349646	0.37383177570093457
597	C#	0	0	0	27	GNU General Public License v3.0	92525	0.4780733285406183
598	Python	0	6111	638	0	MIT License	1404506	0.6563623292595255
599	SQL	5462	0	0	0	Apache License 2.0	235190	0.40258806613946807
600	C#	27340	808	0	402	Mozilla Public License 2.0	1552425	0.8109273903666426
601	SQL	16932	4574	0	0	MIT License	624831	0.5650611071171819
602	JavaScript	0	0	0	0	MIT License	272147	0.28109273903666426
603	Ruby	43652	0	17	0	Apache License 2.0	1435035	0.4730409777138748
604	Python	0	3172	53	0	MIT License	2141284	0.6218547807332854
605	PHP	57227	6623	1428	0	Apache License 2.0	1148694	0.46585190510424146
606	SQL	43932	1292	0	122	MIT License	53611	0.8008626887131559
607	PHP	9768	3409	664	76	MIT License	636572	0.7541337167505391
608	SQL	24229	0	1410	136	MIT License	2596411	0.6578001437814522
609	JavaScript	0	0	1151	169	MIT License	1041248	0.5837526959022287
610	Java	32586	3316	0	0	GNU General Public License v3.0	1172370	0.518332135154565
611	Scala	0	8637	567	98	MIT License	1093227	0.4450035945363048
612	Swift	0	0	0	267	MIT License	1228725	0.22645578720345075
613	Java	7553	8967	0	0	MIT License	2226774	0.9432063263838965
614	SQL	0	0	0	182	MIT License	1498838	0.45363048166786485
615	C#	3547	0	956	358	Apache License 2.0	1046745	0.7526959022286125
616	Scala	7094	3989	0	0	MIT License	336036	0.7081236520488856
617	HTML/CSS	37082	4371	483	0	GNU General Public License v2.0	1245493	0.8202731847591661
618	Kotlin	5385	2867	588	0	BSD 3-Clause 'New' or 'Revised' License	2165107	0.30913012221423436
619	Swift	23344	4218	617	19	Eclipse Public License 2.0	1177664	0.6707404744787923
620	TypeScript	22707	3985	0	202	GNU Lesser General Public License v3.0	266774	0.7095614665708123
621	VBA	4685	1	0	454	GNU Affero General Public License v3.0	505383	0.7677929547088426
622	SQL	9369	0	0	0	BSD 3-Clause 'New' or 'Revised' License	245590	0.2113587347232207
623	HTML/CSS	26051	3852	0	226	Apache License 2.0	365027	0.6312005751258087
624	SQL	0	0	0	0	MIT License	390859	0.5981308411214954
625	Java	101	513	0	0	BSD 3-Clause 'New' or 'Revised' License	380941	0.5104241552839683
626	PHP	0	867	760	220	Apache License 2.0	1153321	0.7692307692307693
627	Python	224	8184	0	161	Mozilla Public License 2.0	161443	0.4816678648454349
628	Rust	21690	1869	176	5	MIT License	915128	0.5607476635514019
629	JavaScript	10862	2464	0	296	Apache License 2.0	476777	0.7699496764917325
630	Java	0	4339	0	131	BSD 2-Clause 'Simplified' License	1290408	0.5514018691588785
631	PHP	0	917	0	230	MIT License	139070	0.33788641265276775
632	HTML/CSS	19041	0	1238	0	MIT License	792186	0.3515456506110712
633	Objective-C	0	0	66	54	GNU General Public License v3.0	1322837	0.3687994248741912
634	Python	0	0	1018	480	Apache License 2.0	388076	0.7850467289719627
635	VBA	10687	0	351	0	Apache License 2.0	919083	0.4205607476635514
636	Python	0	2862	0	0	MIT License	196970	0.3220704529115744
637	C#	0	0	0	485	MIT License	2069520	0.518332135154565
638	C++	0	0	1002	363	Eclipse Public License 2.0	1286761	0.4083393242271747
639	Scala	0	0	0	0	GNU General Public License v3.0	487928	0.27893601725377426
640	R	0	0	334	337	MIT License	187401	0.4421279654924515
641	Python	20069	0	0	63	MIT License	369305	0.18763479511143064
642	Go	25522	0	0	0	MIT License	1216562	0.4867002156721783
643	Java	7954	0	880	154	MIT License	344820	0.3975557153127246
644	SQL	24700	2009	0	0	Apache License 2.0	809691	0.48382458662832495
645	SQL	7219	4858	1026	0	MIT License	65475	0.4651329978432782
646	SQL	0	0	516	70	GNU Lesser General Public License v2.1	594866	0.6110711718188354
647	Python	7520	0	0	54	MIT License	686983	0.25521207764198417
648	HTML/CSS	32803	8056	844	0	Apache License 2.0	2143379	0.6326383896477353
649	C	25017	215	0	0	Apache License 2.0	2005764	0.5887850467289719
650	PHP	9198	2674	0	0	Apache License 2.0	731157	0.4960460100647016
651	C	5479	2164	0	113	BSD 3-Clause 'New' or 'Revised' License	58286	0.6074766355140186
652	Rust	0	1754	417	123	MIT License	519507	0.5880661394680087
653	Scala	0	2988	0	256	MIT License	228281	0.6901509705248022
654	C#	15404	6615	0	179	GNU General Public License v2.0	549008	0.6585190510424155
655	R	0	0	0	228	Eclipse Public License 2.0	981446	0.12796549245147376
656	C	0	0	0	0	BSD 3-Clause 'New' or 'Revised' License	1220435	0.39468008626887124
657	C++	3987	0	477	0	MIT License	692512	0.4543493889288282
658	C++	2412	4390	130	0	MIT License	145755	0.20776419841840402
659	Python	38339	0	120	156	MIT License	1046779	0.693745506829619
660	Swift	18269	0	202	0	BSD 3-Clause 'New' or 'Revised' License	1749053	0.4421279654924515
661	PHP	0	0	0	0	BSD 2-Clause 'Simplified' License	840690	0.48741912293314155
662	HTML/CSS	0	234	0	0	MIT License	901570	0.6175413371675054
663	Rust	0	33	1236	17	GNU Lesser General Public License v3.0	1719994	0.45938173975557156
664	TypeScript	1387	6136	330	0	MIT License	400451	0.26815240833932424
665	Python	10085	0	0	168	Apache License 2.0	1244585	0.2753414809489576
666	PHP	16247	0	0	137	Apache License 2.0	472218	0.5679367361610352
667	Java	20272	6887	0	0	MIT License	1431460	0.37167505391804456
668	HTML/CSS	0	0	1109	51	GNU Lesser General Public License v2.1	973165	0.4442846872753415
669	Java	5130	631	412	399	Apache License 2.0	1017083	0.30265995686556435
670	Java	33758	3999	0	0	MIT License	198242	0.7958303378864127
671	Python	4639	4264	626	467	MIT License	349644	0.5420560747663551
672	Java	0	0	488	0	MIT License	724730	0.7059669302659957
673	Python	26422	0	0	0	MIT License	682391	0.4780733285406183
674	Java	0	10355	493	0	GNU General Public License v3.0	231340	0.40905823148813797
675	SQL	6571	6435	353	246	BSD 3-Clause 'New' or 'Revised' License	450102	0.5398993529834651
676	C++	0	0	0	7	MIT License	1266335	0.5132997843278216
677	Java	22506	0	0	0	Apache License 2.0	666963	0.297627606038821
678	PHP	0	3560	0	0	Apache License 2.0	145467	0.5370237239396117
679	Scala	0	4506	724	0	MIT No Attribution	409263	0.1998562185478073
680	HTML/CSS	6328	228	0	56	Eclipse Public License 2.0	1280185	0.4335010783608914
681	R	40305	2880	1796	124	MIT License	4092021	0.4737598849748383
682	Python	0	7218	0	0	MIT License	19747	0.30337886412652765
683	TypeScript	193	2713	0	0	BSD 3-Clause 'New' or 'Revised' License	1024609	0.017253774263120032
684	PHP	0	4174	249	61	MIT License	136323	0.511861969805895
685	Swift	0	2367	2901	133	MIT License	8157020	0.7562904385334293
686	HTML/CSS	0	0	1044	0	MIT License	1768804	0.4234363767074047
687	TypeScript	32075	0	0	171	MIT No Attribution	133586	0.47519769949676494
688	SQL	0	0	0	19	MIT License	150010	0.595255212077642
689	MATLAB	15466	4854	933	9	MIT License	767024	0.595255212077642
690	SQL	0	1173	0	0	GNU Lesser General Public License v2.1	531160	0.7210639827462256
691	C	0	0	0	105	MIT License	1709695	0.37167505391804456
692	C#	22654	1341	501	190	MIT License	148920	0.41984184040258804
693	VBA	5544	406	0	162	MIT License	1794080	0.2537742631200575
694	HTML/CSS	24844	5226	0	168	MIT License	525594	0.723939611790079
695	C++	0	1357	0	0	GNU General Public License v3.0	1070078	0.5111430625449317
696	SQL	30453	306	531	0	MIT License	409894	0.4780733285406183
697	VBA	28305	0	0	99	Eclipse Public License 2.0	325139	0.4737598849748383
698	HTML/CSS	27337	0	0	0	Apache License 2.0	666134	0.5966930265995687
699	TypeScript	0	10550	0	148	MIT License	269943	0.5420560747663551
700	Kotlin	2796	0	0	158	Apache License 2.0	955929	0.2882818116462976
701	C#	0	0	0	620	Apache License 2.0	393696	0.48885693745506825
702	JavaScript	13235	2171	0	453	GNU General Public License v3.0	571324	0.6412652767792953
703	Objective-C	42298	0	0	172	MIT License	337353	0.8138030194104959
704	Scala	18577	0	0	0	MIT License	49872	0.4033069734004313
705	PHP	7263	0	0	0	MIT License	1472232	0.2739036664270309
706	TypeScript	9560	2403	1583	143	MIT License	3091367	0.7311286843997123
707	HTML/CSS	0	0	0	0	Apache License 2.0	857410	0.642703091301222
708	JavaScript	17917	110	608	0	MIT License	277059	0.6283249460819553
709	Ruby	7279	1206	0	0	GNU Lesser General Public License v3.0	163349	0.5851905104241553
710	HTML/CSS	0	8605	0	67	MIT No Attribution	109230	0.45363048166786485
711	SQL	16390	3387	1449	164	MIT No Attribution	3542336	0.6513299784327821
712	R	13194	1252	0	267	MIT License	217806	0.8475916606757729
713	R	14331	0	0	200	Apache License 2.0	334143	0.2293314162473041
714	Python	22777	5718	122	175	Mozilla Public License 2.0	1328322	0.6901509705248022
715	Python	43485	362	45	0	MIT No Attribution	1497129	0.672178289000719
716	HTML/CSS	21062	547	0	0	BSD 3-Clause 'New' or 'Revised' License	651852	0.6649892163910855
717	TypeScript	9754	3581	1448	0	MIT License	999118	0.5765636232925953
718	C#	47088	0	0	0	GNU General Public License v3.0	561905	0.6987778576563624
719	HTML/CSS	0	0	1588	262	Apache License 1.1	2461310	0.803019410496046
720	HTML/CSS	12916	924	1158	487	MIT License	1677964	0.6879942487419123
721	HTML/CSS	0	1152	917	314	MIT License	2800628	0.7038102084831057
722	HTML/CSS	8441	0	19	216	MIT License	1341169	0.5168943206326384
723	Python	2706	2613	1015	0	MIT License	1473948	0.8303378864126528
724	TypeScript	0	5916	0	0	BSD 3-Clause 'New' or 'Revised' License	533540	0.7951114306254494
725	Python	39562	0	0	0	MIT License	782878	0.40043134435657796
726	SQL	0	0	1408	0	MIT License	1667058	0.803019410496046
727	SQL	782	0	0	207	MIT License	2043836	0.6843997124370956
728	Java	0	1016	1780	0	Apache License 2.0	2172777	0.37167505391804456
729	Objective-C	24457	4526	0	6	Creative Commons Zero v1.0 Universal	794906	0.6240115025161753
730	Swift	9080	0	917	0	Creative Commons Zero v1.0 Universal	1506406	0.42199856218547804
731	Kotlin	15007	0	0	0	MIT License	1336235	0.5744069015097052
732	Go	22586	3328	55	226	BSD 3-Clause 'New' or 'Revised' License	1763938	0.5319913731128685
733	R	1462	0	556	0	MIT License	1308516	0.37526959022286127
734	C#	29816	0	2112	0	GNU General Public License v3.0	3267515	0.6966211358734724
735	VBA	31785	0	0	0	BSD 2-Clause 'Simplified' License	99153	0.2911574406901509
736	Java	0	0	560	0	MIT License	101289	0.35657800143781454
737	VBA	33999	0	0	52	MIT License	246716	0.43062544931703806
738	HTML/CSS	0	1027	0	115	Apache License 2.0	144330	0.5197699496764917
739	C	33488	56	0	195	MIT License	84302	0.5837526959022287
740	SQL	40418	1926	0	66	MIT License	386831	0.877785765636233
741	Java	23826	0	0	0	Apache License 2.0	522796	0.6736161035226456
742	Java	0	3029	0	0	MIT License	358337	0.46225736879942486
743	JavaScript	0	2091	0	0	MIT License	689354	0.3989935298346513
744	C#	0	0	0	0	BSD 3-Clause 'New' or 'Revised' License	817192	0.4069015097052481
745	Java	0	0	50	0	BSD 3-Clause 'New' or 'Revised' License	288613	0.4953271028037384
746	C	0	0	0	10	MIT No Attribution	298656	0.36089144500359455
747	MATLAB	0	0	0	0	Apache License 1.1	2268222	0.2890007189072609
748	SQL	0	0	0	395	BSD 3-Clause 'New' or 'Revised' License	1175669	0.634076204169662
749	HTML/CSS	21710	625	0	0	BSD 3-Clause 'New' or 'Revised' License	1444433	0.42559309849029475
